Seed;Tesla;Musk;Gigafactory;Elon Mask;
https://en.wikipedia.org/wiki/Gamma_(satellite);0;0;0;0;0;
https://en.wikipedia.org/wiki/Stars-AO;0;0;0;0;0;
https://en.wikipedia.org/wiki/Weakly_interacting_massive_particles;0;0;0;0;0;
https://en.wikipedia.org/wiki/AOSO;0;0;0;0;0;
https://en.wikipedia.org/wiki/Vanguard_3;0;0;0;0;0;
https://en.wikipedia.org/wiki/Wide_Field_Infrared_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/XMM-Newton;0;0;0;0;0;
https://en.wikipedia.org/wiki/ASTERIA_(spacecraft);0;0;0;0;0;
https://en.wikipedia.org/wiki/Orbiting_Astronomical_Observatory;0;0;0;0;0;
https://en.wikipedia.org/wiki/Ariel_3;0;0;0;0;0;
https://en.wikipedia.org/wiki/Astro-G;0;0;0;0;0;
https://en.wikipedia.org/wiki/Dwarf_galaxy_problem;0;0;0;0;0;
https://en.wikipedia.org/wiki/EPOXI;0;0;0;0;0;
https://en.wikipedia.org/wiki/DAMA/NaI;0;0;0;0;0;
https://en.wikipedia.org/wiki/Mirror_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/Spitzer_Space_Telescope;0;0;0;0;0;
https://en.wikipedia.org/wiki/IceCube_Neutrino_Observatory;0;0;0;0;0;
https://en.wikipedia.org/wiki/Kristall;0;0;0;0;0;
https://en.wikipedia.org/wiki/UK_Dark_Matter_Collaboration;0;0;0;0;0;
https://en.wikipedia.org/wiki/OSO_4;0;0;0;0;0;
https://en.wikipedia.org/wiki/Fast_Infrared_Exoplanet_Spectroscopy_Survey_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/Electron;0;0;0;0;0;
https://en.wikipedia.org/wiki/Explorer_11;0;0;0;0;0;
https://en.wikipedia.org/wiki/Dark_galaxy;0;0;0;0;0;
https://en.wikipedia.org/wiki/Portal;0;0;0;0;0;
https://en.wikipedia.org/wiki/Scalar_field_dark_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/VIRGOHI21;0;0;0;0;0;
https://en.wikipedia.org/wiki/Exotic_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/Lightest_supersymmetric_particle;0;0;0;0;0;
https://en.wikipedia.org/wiki/Interstellar_Boundary_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/Astrophysics;0;0;0;0;0;
https://en.wikipedia.org/wiki/Near-Earth_Object_Surveillance_Mission;0;0;0;0;0;
https://en.wikipedia.org/wiki/PAMELA_detector;0;0;0;0;0;
https://en.wikipedia.org/wiki/Proton;0;0;0;0;0;
https://en.wikipedia.org/wiki/Wilkinson_Microwave_Anisotropy_Probe;0;0;0;0;0;
https://en.wikipedia.org/wiki/Solar_and_Heliospheric_Observatory;0;0;0;0;0;
https://en.wikipedia.org/wiki/Full-sky_Astrometric_Mapping_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/Spektr-R;0;0;0;0;0;
https://en.wikipedia.org/wiki/OSO_K;0;0;0;0;0;
https://en.wikipedia.org/wiki/Hakucho;0;0;0;0;0;
https://en.wikipedia.org/wiki/International_Ultraviolet_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/Matter_creation;0;0;0;0;0;
https://en.wikipedia.org/wiki/Bibcode_(identifier);0;0;0;0;0;
https://en.wikipedia.org/wiki/Trillion;0;0;0;0;0;
https://en.wikipedia.org/wiki/Large_Underground_Xenon_experiment;0;0;0;0;0;
https://en.wikipedia.org/wiki/Hipparcos;0;0;0;0;0;
https://en.wikipedia.org/wiki/Cryogenic_Dark_Matter_Search;0;0;0;0;0;
https://en.wikipedia.org/wiki/Apollo_Telescope_Mount;0;0;0;0;0;
https://en.wikipedia.org/wiki/Gravity_and_Extreme_Magnetism;0;0;0;0;0;
https://en.wikipedia.org/wiki/TAUVEX;0;0;0;0;0;
https://en.wikipedia.org/wiki/ANTARES_(telescope);0;0;0;0;0;
https://en.wikipedia.org/wiki/Ground_station;0;0;0;0;0;
https://en.wikipedia.org/wiki/EChO;0;0;0;0;0;
https://en.wikipedia.org/wiki/DarkSide;0;0;0;0;0;
https://en.wikipedia.org/wiki/STS-54;0;0;0;0;0;
https://en.wikipedia.org/wiki/Navarro%E2%80%93Frenk%E2%80%93White_profile;0;0;0;0;0;
https://en.wikipedia.org/wiki/Cuspy_halo_problem;0;0;0;0;0;
https://en.wikipedia.org/wiki/Waseda_University;0;0;0;0;0;
https://en.wikipedia.org/wiki/List_of_proposed_space_observatories;0;0;0;0;0;
https://en.wikipedia.org/wiki/International_Lunar_Observatory;0;0;0;0;0;
